round_epochs,val_loss,val_f1K,auroc,val_auroc,f1K,acc,loss,val_acc,l1act,l4nn,l3reg,l4act,l0nn,l0act,l4reg,l3nn,loss,l1reg,l5act,w,l2nn,l3act,l5nn,l1nn,batch_size,l2act,l2reg,lr,epochs,nl,l0reg,l5reg
20,0.39510316034604254,0.49790564,0.91572285,0.7925371,0.6226282,0.9122559,0.3527919196421183,0.88467634,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,2000,relu,None,0.0108,tanh,20,100,6,None,None
40,0.3658904933630239,0.55173284,0.9112199,0.796008,0.61522514,0.90942544,0.3625522934104915,0.9100396,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,2000,relu,None,0.0311,tanh,40,100,6,None,None
40,1.59051796199466,0.0,0.5,0.5,0.0,0.9044438,7.9493359026678085,0.901321,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,2000,relu,None,0.055749999999999994,tanh,40,100,6,None,None
40,14.369205922085197,0.1768291,0.5,0.5,0.17475778,0.095556185,8.07298730015586,0.098679,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,5000,relu,None,0.1384,tanh,40,100,6,None,None
20,0.45170934567205817,0.4761907,0.8759687,0.7967696,0.5537276,0.8966318,0.42994578049839505,0.8704095,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,5000,relu,None,0.051399999999999994,tanh,20,100,6,None,None
20,14.369205398005255,0.17871282,0.5,0.5,0.17446831,0.095556185,8.079656071882898,0.098679,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,2000,relu,None,0.1152,tanh,20,100,6,None,None
20,14.36920545721621,0.17924869,0.5,0.5,0.17446831,0.095556185,8.079656071882898,0.098679,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,2000,relu,None,0.057199999999999994,tanh,20,100,6,None,None
40,1.590518018528524,0.0,0.5,0.5,0.0,0.9044438,7.956109941494961,0.901321,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,5000,relu,None,0.1152,tanh,40,100,6,None,None
40,1.5905179993164587,0.0,0.5,0.5,0.0,0.9044438,7.9493359026678085,0.901321,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,2000,relu,None,0.06735,tanh,40,100,6,None,None
40,1.590517986875859,0.0,0.5,0.5,0.0,0.9044438,7.956109941494961,0.901321,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,5000,relu,None,0.14129999999999998,tanh,40,100,6,None,None
40,0.48764590149354115,0.42703438,0.91626763,0.7958632,0.59652615,0.8984432,0.3504142572277165,0.8344782,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,2000,relu,None,0.032549999999999996,tanh,40,100,6,None,None
20,14.369206359238417,0.181245,0.5,0.5,0.17475778,0.095556185,8.07298730015586,0.098679,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,5000,relu,None,0.09634999999999999,tanh,20,100,6,None,None
20,14.36920597121769,0.1802727,0.5,0.5,0.17446831,0.095556185,8.079656071882898,0.098679,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,2000,relu,None,0.09345,tanh,20,100,6,None,None
40,1.590517978844586,0.0,0.5,0.5,0.0,0.9044438,7.956109941494961,0.901321,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,5000,relu,None,0.12245,tanh,40,100,6,None,None
40,0.44834451717933543,0.4434936,0.91934204,0.7832736,0.62251425,0.9105576,0.3527865667131242,0.85112286,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,5000,relu,None,0.049949999999999994,tanh,40,100,6,None,None
40,14.36920546225544,0.17854236,0.5,0.5,0.17446831,0.095556185,8.079656071882898,0.098679,tanh,100,None,100,relu,None,100,None,None,True,relu,relu,100,100,2000,relu,None,0.0833,tanh,40,100,6,None,None
